etablissement,type,lieu,latitude,longitude,xmin,ymin,xmax,ymax
VGS,Restauration de type rapide,Arena Porte de La Chapelle,48.887226,2.356461,2.340083,48.886165,2.378779,48.901831
SARL L ELITE,Restauration traditionnelle,Arena Porte de La Chapelle,48.892473,2.363519,2.340083,48.886165,2.378779,48.901831
L'ATELIER JULES,Restauration traditionnelle,Arena Porte de La Chapelle,48.892112,2.346051,2.340083,48.886165,2.378779,48.901831
ESPACE MONTMARTRE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890274,2.3458,2.340083,48.886165,2.378779,48.901831
DELICES EXQUIS,Restauration de type rapide,Arena Porte de La Chapelle,48.893324,2.342501,2.340083,48.886165,2.378779,48.901831
DISTRITEP,Restauration de type rapide,Arena Porte de La Chapelle,48.892128,2.359985,2.340083,48.886165,2.378779,48.901831
BASYL,Restauration traditionnelle,Arena Porte de La Chapelle,48.890311,2.35317,2.340083,48.886165,2.378779,48.901831
CHEZ MA COCO,Restauration traditionnelle,Arena Porte de La Chapelle,48.887886,2.354061,2.340083,48.886165,2.378779,48.901831
SAKURA SUSHI,Restauration de type rapide,Arena Porte de La Chapelle,48.889882,2.346059,2.340083,48.886165,2.378779,48.901831
BALIE BOUSSO,Restauration de type rapide,Arena Porte de La Chapelle,48.888106,2.35346,2.340083,48.886165,2.378779,48.901831
LE 38 GOURMET,Restauration de type rapide,Arena Porte de La Chapelle,48.890985,2.360701,2.340083,48.886165,2.378779,48.901831
LE REPOS DU CHEF,Restauration traditionnelle,Arena Porte de La Chapelle,48.89029,2.354277,2.340083,48.886165,2.378779,48.901831
SAINT CYRILLE,Restauration traditionnelle,Arena Porte de La Chapelle,48.891858,2.363567,2.340083,48.886165,2.378779,48.901831
HANIA,Restauration de type rapide,Arena Porte de La Chapelle,48.891323,2.359669,2.340083,48.886165,2.378779,48.901831
AIN EL HAMMAM,Restauration traditionnelle,Arena Porte de La Chapelle,48.887223,2.351356,2.340083,48.886165,2.378779,48.901831
LE FONTENOY,Restauration traditionnelle,Arena Porte de La Chapelle,48.891171,2.347266,2.340083,48.886165,2.378779,48.901831
TOLGA,Restauration de type rapide,Arena Porte de La Chapelle,48.89063,2.349389,2.340083,48.886165,2.378779,48.901831
THE CAFE JOFFRIN,Restauration traditionnelle,Arena Porte de La Chapelle,48.892687,2.3443,2.340083,48.886165,2.378779,48.901831
AU RENDEZ-VOUS DES CHAUFFEURS,Restauration traditionnelle,Arena Porte de La Chapelle,48.891606,2.350695,2.340083,48.886165,2.378779,48.901831
LE NZINGU,Restauration de type rapide,Arena Porte de La Chapelle,48.893054,2.347662,2.340083,48.886165,2.378779,48.901831
SARL LA GRAPPE D OR,Restauration traditionnelle,Arena Porte de La Chapelle,48.891776,2.349285,2.340083,48.886165,2.378779,48.901831
CAFE MAURICET,Débits de boissons,Arena Porte de La Chapelle,48.886964,2.352774,2.340083,48.886165,2.378779,48.901831
ISAFERBA,Restauration traditionnelle,Arena Porte de La Chapelle,48.892687,2.3443,2.340083,48.886165,2.378779,48.901831
BEN AHMED ET BEN OUHALIMA,Débits de boissons,Arena Porte de La Chapelle,48.887072,2.355414,2.340083,48.886165,2.378779,48.901831
LODGE MKB,Restauration traditionnelle,Arena Porte de La Chapelle,48.888764,2.353666,2.340083,48.886165,2.378779,48.901831
SUB MARX DORMOY,Restauration de type rapide,Arena Porte de La Chapelle,48.890173,2.359012,2.340083,48.886165,2.378779,48.901831
SUPERCOIN,Débits de boissons,Arena Porte de La Chapelle,48.893065,2.350547,2.340083,48.886165,2.378779,48.901831
TRENDY BURGER,Restauration traditionnelle,Arena Porte de La Chapelle,48.888852,2.35684,2.340083,48.886165,2.378779,48.901831
J.U.B.A.,Restauration traditionnelle,Arena Porte de La Chapelle,48.892946,2.348805,2.340083,48.886165,2.378779,48.901831
JENNIFRED MIENANDI EURL,Restauration traditionnelle,Arena Porte de La Chapelle,48.887879,2.352101,2.340083,48.886165,2.378779,48.901831
SV,Restauration de type rapide,Arena Porte de La Chapelle,48.893462,2.359773,2.340083,48.886165,2.378779,48.901831
YOUPI HOURS,Restauration traditionnelle,Arena Porte de La Chapelle,48.890448,2.351181,2.340083,48.886165,2.378779,48.901831
LES DELICES DE MARCADET,Restauration traditionnelle,Arena Porte de La Chapelle,48.890681,2.348261,2.340083,48.886165,2.378779,48.901831
SAM,Restauration traditionnelle,Arena Porte de La Chapelle,48.891781,2.346533,2.340083,48.886165,2.378779,48.901831
BAY OF BENGAL,Restauration traditionnelle,Arena Porte de La Chapelle,48.889943,2.350355,2.340083,48.886165,2.378779,48.901831
KOYAKA KITCHEN,Restauration traditionnelle,Arena Porte de La Chapelle,48.887102,2.353035,2.340083,48.886165,2.378779,48.901831
MELIH,Restauration de type rapide,Arena Porte de La Chapelle,48.891901,2.347188,2.340083,48.886165,2.378779,48.901831
LE PANAME,Restauration de type rapide,Arena Porte de La Chapelle,48.891976,2.359678,2.340083,48.886165,2.378779,48.901831
DJAWHAR,Restauration de type rapide,Arena Porte de La Chapelle,48.892212,2.363485,2.340083,48.886165,2.378779,48.901831
DANS UN COIN DE JARDIN,Restauration traditionnelle,Arena Porte de La Chapelle,48.888132,2.362432,2.340083,48.886165,2.378779,48.901831
H & M RESTAURATION,Restauration de type rapide,Arena Porte de La Chapelle,48.890969,2.34417,2.340083,48.886165,2.378779,48.901831
BANGOU,Restauration traditionnelle,Arena Porte de La Chapelle,48.890506,2.350647,2.340083,48.886165,2.378779,48.901831
LA DIFFERENCE,Restauration traditionnelle,Arena Porte de La Chapelle,48.888743,2.354655,2.340083,48.886165,2.378779,48.901831
COLCHIDE,Restauration traditionnelle,Arena Porte de La Chapelle,48.892078,2.351938,2.340083,48.886165,2.378779,48.901831
CAFE DE LA POSTE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890158,2.359469,2.340083,48.886165,2.378779,48.901831
NEW STYLE CHEZ MAFEU YOMI,Restauration traditionnelle,Arena Porte de La Chapelle,48.891092,2.364076,2.340083,48.886165,2.378779,48.901831
LE RELAIS BOUNDA,Débits de boissons,Arena Porte de La Chapelle,48.892862,2.359891,2.340083,48.886165,2.378779,48.901831
L'OLIVIER,Restauration traditionnelle,Arena Porte de La Chapelle,48.892815,2.343016,2.340083,48.886165,2.378779,48.901831
OLYMPIC CAFE,Restauration traditionnelle,Arena Porte de La Chapelle,48.887921,2.353591,2.340083,48.886165,2.378779,48.901831
LE 360,Restauration traditionnelle,Arena Porte de La Chapelle,48.88719,2.353712,2.340083,48.886165,2.378779,48.901831
O' RDV,Restauration traditionnelle,Arena Porte de La Chapelle,48.89169,2.346656,2.340083,48.886165,2.378779,48.901831
CAFE FATI-FLORE,Débits de boissons,Arena Porte de La Chapelle,48.890292,2.354401,2.340083,48.886165,2.378779,48.901831
RESTAURANT DE LA PAIX,Restauration traditionnelle,Arena Porte de La Chapelle,48.892807,2.359499,2.340083,48.886165,2.378779,48.901831
EAT ME ONCE,Restauration de type rapide,Arena Porte de La Chapelle,48.886686,2.35392,2.340083,48.886165,2.378779,48.901831
CHEZ ZEYNA,Restauration traditionnelle,Arena Porte de La Chapelle,48.888993,2.358368,2.340083,48.886165,2.378779,48.901831
SOCIETE IKKO,Restauration de type rapide,Arena Porte de La Chapelle,48.893277,2.348029,2.340083,48.886165,2.378779,48.901831
LES GOUTTEURS D 'OR,Débits de boissons,Arena Porte de La Chapelle,48.887804,2.352482,2.340083,48.886165,2.378779,48.901831
AHENFIE RESTAURANT,Restauration traditionnelle,Arena Porte de La Chapelle,48.889096,2.354485,2.340083,48.886165,2.378779,48.901831
PB3,Restauration traditionnelle,Arena Porte de La Chapelle,48.892792,2.349082,2.340083,48.886165,2.378779,48.901831
LA MAISON DE SARA-LI,Restauration traditionnelle,Arena Porte de La Chapelle,48.89042,2.345705,2.340083,48.886165,2.378779,48.901831
BOB'S,Restauration de type rapide,Arena Porte de La Chapelle,48.888132,2.362432,2.340083,48.886165,2.378779,48.901831
ACAPULCO,Restauration traditionnelle,Arena Porte de La Chapelle,48.891352,2.348766,2.340083,48.886165,2.378779,48.901831
EL CHBIB,Restauration de type rapide,Arena Porte de La Chapelle,48.890893,2.35266,2.340083,48.886165,2.378779,48.901831
SARL LOTAMA,Restauration traditionnelle,Arena Porte de La Chapelle,48.8908,2.361916,2.340083,48.886165,2.378779,48.901831
SARL AYA,Restauration de type rapide,Arena Porte de La Chapelle,48.88735,2.355806,2.340083,48.886165,2.378779,48.901831
LA PORTENA,Restauration traditionnelle,Arena Porte de La Chapelle,48.892927,2.350452,2.340083,48.886165,2.378779,48.901831
LA CRTV,Restauration traditionnelle,Arena Porte de La Chapelle,48.891455,2.348789,2.340083,48.886165,2.378779,48.901831
LA VIEILLE PIE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890015,2.363198,2.340083,48.886165,2.378779,48.901831
R.M.A.,Restauration traditionnelle,Arena Porte de La Chapelle,48.891119,2.351429,2.340083,48.886165,2.378779,48.901831
BAYERE,Restauration de type rapide,Arena Porte de La Chapelle,48.890162,2.363745,2.340083,48.886165,2.378779,48.901831
AZOUMER,Restauration de type rapide,Arena Porte de La Chapelle,48.892727,2.359032,2.340083,48.886165,2.378779,48.901831
WIPA,Restauration traditionnelle,Arena Porte de La Chapelle,48.891625,2.346073,2.340083,48.886165,2.378779,48.901831
BILLY'S,Restauration traditionnelle,Arena Porte de La Chapelle,48.888519,2.353168,2.340083,48.886165,2.378779,48.901831
AHMED,Restauration de type rapide,Arena Porte de La Chapelle,48.887747,2.352107,2.340083,48.886165,2.378779,48.901831
MOKTRANSPOT,Restauration de type rapide,Arena Porte de La Chapelle,48.887671,2.35114,2.340083,48.886165,2.378779,48.901831
GOOD-NEWS,Restauration de type rapide,Arena Porte de La Chapelle,48.890177,2.351053,2.340083,48.886165,2.378779,48.901831
N BROTHERS GROUP,Restauration de type rapide,Arena Porte de La Chapelle,48.891956,2.348003,2.340083,48.886165,2.378779,48.901831
ARK COMPTOIR,Restauration traditionnelle,Arena Porte de La Chapelle,48.891086,2.346955,2.340083,48.886165,2.378779,48.901831
CHIKEN'S KING,Restauration traditionnelle,Arena Porte de La Chapelle,48.892504,2.348676,2.340083,48.886165,2.378779,48.901831
SOSSO,Restauration traditionnelle,Arena Porte de La Chapelle,48.889577,2.346241,2.340083,48.886165,2.378779,48.901831
HOKKAIDO ZHOU,Restauration traditionnelle,Arena Porte de La Chapelle,48.892838,2.342849,2.340083,48.886165,2.378779,48.901831
MALOUMARIN,Restauration traditionnelle,Arena Porte de La Chapelle,48.890704,2.361192,2.340083,48.886165,2.378779,48.901831
MIAM BY EMMA,Restauration traditionnelle,Arena Porte de La Chapelle,48.887919,2.355706,2.340083,48.886165,2.378779,48.901831
SARL LEA,Restauration traditionnelle,Arena Porte de La Chapelle,48.889994,2.362783,2.340083,48.886165,2.378779,48.901831
ETOILE,Restauration traditionnelle,Arena Porte de La Chapelle,48.891451000000004,2.351533,2.340083,48.886165,2.378779,48.901831
BEST AFRICA,Restauration traditionnelle,Arena Porte de La Chapelle,48.888505,2.353008,2.340083,48.886165,2.378779,48.901831
MONSIEUR KEBAB,Restauration traditionnelle,Arena Porte de La Chapelle,48.886791,2.353744,2.340083,48.886165,2.378779,48.901831
LES NATURISTES,Restauration traditionnelle,Arena Porte de La Chapelle,48.89042,2.345705,2.340083,48.886165,2.378779,48.901831
LA MOME DU 18,Restauration traditionnelle,Arena Porte de La Chapelle,48.886247,2.356667,2.340083,48.886165,2.378779,48.901831
LA BACHE BLEUE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890015,2.363198,2.340083,48.886165,2.378779,48.901831
LA PETITE PAUSE,Restauration de type rapide,Arena Porte de La Chapelle,48.887847,2.356125,2.340083,48.886165,2.378779,48.901831
EXOTIQUE SAINT,Restauration de type rapide,Arena Porte de La Chapelle,48.887588,2.352514,2.340083,48.886165,2.378779,48.901831
ARK GK,Restauration traditionnelle,Arena Porte de La Chapelle,48.886988,2.360866,2.340083,48.886165,2.378779,48.901831
BAIE D'ALGER,Restauration de type rapide,Arena Porte de La Chapelle,48.892617,2.349078,2.340083,48.886165,2.378779,48.901831
LE 360 RESTAURANT,Restauration traditionnelle,Arena Porte de La Chapelle,48.88719,2.353712,2.340083,48.886165,2.378779,48.901831
2L PIZZA,Restauration de type rapide,Arena Porte de La Chapelle,48.892139,2.345904,2.340083,48.886165,2.378779,48.901831
STREET FOOD,Restauration de type rapide,Arena Porte de La Chapelle,48.88737,2.356072,2.340083,48.886165,2.378779,48.901831
CREME,Restauration traditionnelle,Arena Porte de La Chapelle,48.891129,2.347113,2.340083,48.886165,2.378779,48.901831
K LA BRAISE,Restauration de type rapide,Arena Porte de La Chapelle,48.890052,2.362616,2.340083,48.886165,2.378779,48.901831
CENTRALE D'AFRIQUE,Restauration traditionnelle,Arena Porte de La Chapelle,48.889877,2.351622,2.340083,48.886165,2.378779,48.901831
NEW CHICKEN KING,Restauration de type rapide,Arena Porte de La Chapelle,48.887479,2.359961,2.340083,48.886165,2.378779,48.901831
WA FOOD,Restauration de type rapide,Arena Porte de La Chapelle,48.891043,2.346796,2.340083,48.886165,2.378779,48.901831
LA MARMITE DES ANTILOPES,Restauration traditionnelle,Arena Porte de La Chapelle,48.890162,2.363745,2.340083,48.886165,2.378779,48.901831
LES HACHES DE MAT,Restauration de type rapide,Arena Porte de La Chapelle,48.890646,2.345997,2.340083,48.886165,2.378779,48.901831
LES PLAGISTES,Débits de boissons,Arena Porte de La Chapelle,48.890987,2.346091,2.340083,48.886165,2.378779,48.901831
FAST CHICKEN,Restauration de type rapide,Arena Porte de La Chapelle,48.891361,2.351225,2.340083,48.886165,2.378779,48.901831
MAURICE DELI,Restauration traditionnelle,Arena Porte de La Chapelle,48.888688,2.348159,2.340083,48.886165,2.378779,48.901831
DIM SUM NEWCO,Restauration de type rapide,Arena Porte de La Chapelle,48.890429,2.347761,2.340083,48.886165,2.378779,48.901831
JONNY WOK,Restauration de type rapide,Arena Porte de La Chapelle,48.891,2.346638,2.340083,48.886165,2.378779,48.901831
J H C,Restauration traditionnelle,Arena Porte de La Chapelle,48.891069,2.360992,2.340083,48.886165,2.378779,48.901831
RESTAURANT LE BANTU,Restauration traditionnelle,Arena Porte de La Chapelle,48.893034,2.35244,2.340083,48.886165,2.378779,48.901831
HAITIAN MAMA,Restauration de type rapide,Arena Porte de La Chapelle,48.889866,2.350211,2.340083,48.886165,2.378779,48.901831
LA MARMITE DE PAULINE,Restauration traditionnelle,Arena Porte de La Chapelle,48.887816,2.351759,2.340083,48.886165,2.378779,48.901831
LA FLEMME,Restauration traditionnelle,Arena Porte de La Chapelle,48.892653,2.362815,2.340083,48.886165,2.378779,48.901831
BCHARA,Restauration traditionnelle,Arena Porte de La Chapelle,48.891338,2.343802,2.340083,48.886165,2.378779,48.901831
BANGOU LUNCH,Restauration traditionnelle,Arena Porte de La Chapelle,48.892473,2.363519,2.340083,48.886165,2.378779,48.901831
ATM 18,Débits de boissons,Arena Porte de La Chapelle,48.893598,2.359299,2.340083,48.886165,2.378779,48.901831
LE SENOU,Restauration de type rapide,Arena Porte de La Chapelle,48.890478,2.35239,2.340083,48.886165,2.378779,48.901831
PAJOL'INI PIZZA,Restauration traditionnelle,Arena Porte de La Chapelle,48.88899,2.362436,2.340083,48.886165,2.378779,48.901831
MALOU,Restauration traditionnelle,Arena Porte de La Chapelle,48.892687,2.3443,2.340083,48.886165,2.378779,48.901831
YANKEY,Restauration traditionnelle,Arena Porte de La Chapelle,48.889603,2.345991,2.340083,48.886165,2.378779,48.901831
GUEWELGUI,Restauration de type rapide,Arena Porte de La Chapelle,48.887171,2.355397,2.340083,48.886165,2.378779,48.901831
FOOD45,Restauration traditionnelle,Arena Porte de La Chapelle,48.887334,2.355598,2.340083,48.886165,2.378779,48.901831
BARWAQO,Restauration traditionnelle,Arena Porte de La Chapelle,48.889,2.360615,2.340083,48.886165,2.378779,48.901831
MACHMOUM,Restauration de type rapide,Arena Porte de La Chapelle,48.892294,2.352051,2.340083,48.886165,2.378779,48.901831
PIZZA PASTA BASTA,Débits de boissons,Arena Porte de La Chapelle,48.892254,2.346972,2.340083,48.886165,2.378779,48.901831
DJEBARI ET ASSOCIES,Débits de boissons,Arena Porte de La Chapelle,48.891763,2.351773,2.340083,48.886165,2.378779,48.901831
GLENN ANDY,Restauration traditionnelle,Arena Porte de La Chapelle,48.893054,2.347662,2.340083,48.886165,2.378779,48.901831
PRINCE PINSA,Restauration de type rapide,Arena Porte de La Chapelle,48.887455,2.353551,2.340083,48.886165,2.378779,48.901831
GMS IDF,Restauration de type rapide,Arena Porte de La Chapelle,48.892256,2.359973,2.340083,48.886165,2.378779,48.901831
LE FOKUS,Débits de boissons,Arena Porte de La Chapelle,48.887455,2.353551,2.340083,48.886165,2.378779,48.901831
LE RESTO,Restauration traditionnelle,Arena Porte de La Chapelle,48.890502,2.361358,2.340083,48.886165,2.378779,48.901831
LE VENETO,Restauration traditionnelle,Arena Porte de La Chapelle,48.886876,2.360889,2.340083,48.886165,2.378779,48.901831
UTILE ET AGREABLE,Restauration de type rapide,Arena Porte de La Chapelle,48.889227,2.354482,2.340083,48.886165,2.378779,48.901831
LE 17.45,Restauration traditionnelle,Arena Porte de La Chapelle,48.890579,2.345768,2.340083,48.886165,2.378779,48.901831
ASIAN TRIP,Restauration de type rapide,Arena Porte de La Chapelle,48.88735,2.355806,2.340083,48.886165,2.378779,48.901831
EUPHORIE,Débits de boissons,Arena Porte de La Chapelle,48.890536,2.345394,2.340083,48.886165,2.378779,48.901831
LA BRASSERIE CHAPELLE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890231,2.360374,2.340083,48.886165,2.378779,48.901831
PILEA,Débits de boissons,Arena Porte de La Chapelle,48.891635,2.359674,2.340083,48.886165,2.378779,48.901831
SHAMEEM,Restauration de type rapide,Arena Porte de La Chapelle,48.889321,2.349812,2.340083,48.886165,2.378779,48.901831
PACT PARIS18,Restauration de type rapide,Arena Porte de La Chapelle,48.89008,2.348806,2.340083,48.886165,2.378779,48.901831
ARC EN CIEL,Restauration traditionnelle,Arena Porte de La Chapelle,48.892973,2.363359,2.340083,48.886165,2.378779,48.901831
LE REGAL,Restauration de type rapide,Arena Porte de La Chapelle,48.893264,2.349287,2.340083,48.886165,2.378779,48.901831
C ROYAL,Restauration de type rapide,Arena Porte de La Chapelle,48.887927,2.360678,2.340083,48.886165,2.378779,48.901831
MEHMET COOP,Restauration traditionnelle,Arena Porte de La Chapelle,48.889603,2.345991,2.340083,48.886165,2.378779,48.901831
SDP18,Restauration de type rapide,Arena Porte de La Chapelle,48.890145,2.355738,2.340083,48.886165,2.378779,48.901831
SAVEUR DE TUNIS,Débits de boissons,Arena Porte de La Chapelle,48.887368,2.356432,2.340083,48.886165,2.378779,48.901831
SAS RESTAURANT LE BIENVENU,Restauration de type rapide,Arena Porte de La Chapelle,48.887226,2.356461,2.340083,48.886165,2.378779,48.901831
CITY MEAL,Restauration traditionnelle,Arena Porte de La Chapelle,48.892128,2.359985,2.340083,48.886165,2.378779,48.901831
AU 94,Restauration de type rapide,Arena Porte de La Chapelle,48.891142,2.349831,2.340083,48.886165,2.378779,48.901831
AFG-IND MAMA,Restauration de type rapide,Arena Porte de La Chapelle,48.893286,2.359389,2.340083,48.886165,2.378779,48.901831
LE GAULOIS GASTRONOMIQUE,Restauration traditionnelle,Arena Porte de La Chapelle,48.893043,2.348723,2.340083,48.886165,2.378779,48.901831
SOLO PER DUE,Restauration de type rapide,Arena Porte de La Chapelle,48.889048,2.360438,2.340083,48.886165,2.378779,48.901831
SMASH MANIA,Restauration de type rapide,Arena Porte de La Chapelle,48.891,2.346638,2.340083,48.886165,2.378779,48.901831
MADIINA RESTAURANT,Restauration traditionnelle,Arena Porte de La Chapelle,48.890082,2.361898,2.340083,48.886165,2.378779,48.901831
ABOUBEYDA SAEED MOHAMED,Restauration traditionnelle,Arena Porte de La Chapelle,48.887747,2.352107,2.340083,48.886165,2.378779,48.901831
LA FEE ORIENTALE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890052,2.362616,2.340083,48.886165,2.378779,48.901831
GRACE SAS,Restauration traditionnelle,Arena Porte de La Chapelle,48.89293,2.344015,2.340083,48.886165,2.378779,48.901831
SMALL CANTINE,Restauration traditionnelle,Arena Porte de La Chapelle,48.891052,2.361911,2.340083,48.886165,2.378779,48.901831
KOJOBA,Restauration de type rapide,Arena Porte de La Chapelle,48.889866,2.350211,2.340083,48.886165,2.378779,48.901831
CAFE DU GALBEEDI,Restauration de type rapide,Arena Porte de La Chapelle,48.891336,2.363092,2.340083,48.886165,2.378779,48.901831
FOODGIONNI,Restauration traditionnelle,Arena Porte de La Chapelle,48.8917,2.350889,2.340083,48.886165,2.378779,48.901831
LES NOUILLES HEUREUX,Restauration de type rapide,Arena Porte de La Chapelle,48.89308,2.344547,2.340083,48.886165,2.378779,48.901831
PAGAILLE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890274,2.3458,2.340083,48.886165,2.378779,48.901831
SOHAME,Restauration de type rapide,Arena Porte de La Chapelle,48.891579,2.348932,2.340083,48.886165,2.378779,48.901831
CHICKEN HOT A TACOS,Restauration de type rapide,Arena Porte de La Chapelle,48.888387,2.353398,2.340083,48.886165,2.378779,48.901831
JSK PARIS,Restauration traditionnelle,Arena Porte de La Chapelle,48.893066,2.344061,2.340083,48.886165,2.378779,48.901831
ALEY RESTAURATION,Restauration de type rapide,Arena Porte de La Chapelle,48.892294,2.352051,2.340083,48.886165,2.378779,48.901831
BOUCHERIE BISO NA BISO,Restauration de type rapide,Arena Porte de La Chapelle,48.888178,2.351127,2.340083,48.886165,2.378779,48.901831
NOBLESS LUNCH,Restauration traditionnelle,Arena Porte de La Chapelle,48.893034,2.35244,2.340083,48.886165,2.378779,48.901831
AFGHAN NAN,Restauration traditionnelle,Arena Porte de La Chapelle,48.88847,2.36006,2.340083,48.886165,2.378779,48.901831
STREET FOOD,Restauration de type rapide,Arena Porte de La Chapelle,48.891361,2.351225,2.340083,48.886165,2.378779,48.901831
E MA HO,Restauration de type rapide,Arena Porte de La Chapelle,48.891001,2.361185,2.340083,48.886165,2.378779,48.901831
S.P.S.,Restauration de type rapide,Arena Porte de La Chapelle,48.891323,2.359669,2.340083,48.886165,2.378779,48.901831
ZEHLEWE,Restauration de type rapide,Arena Porte de La Chapelle,48.89149,2.344999,2.340083,48.886165,2.378779,48.901831
BENADIR KEBAB,Restauration de type rapide,Arena Porte de La Chapelle,48.890047,2.362243,2.340083,48.886165,2.378779,48.901831
INESYA,Restauration traditionnelle,Arena Porte de La Chapelle,48.892617,2.349078,2.340083,48.886165,2.378779,48.901831
AMANDINE GUERIN,Débits de boissons,Arena Porte de La Chapelle,48.891097,2.360091,2.340083,48.886165,2.378779,48.901831
LE PRIMATICE,Restauration traditionnelle,Arena Porte de La Chapelle,48.893034,2.35244,2.340083,48.886165,2.378779,48.901831
MDPM,Restauration traditionnelle,Arena Porte de La Chapelle,48.891338,2.343802,2.340083,48.886165,2.378779,48.901831
MZW,Restauration de type rapide,Arena Porte de La Chapelle,48.891,2.346638,2.340083,48.886165,2.378779,48.901831
CHEZ LES GOURMANDS,Restauration de type rapide,Arena Porte de La Chapelle,48.890704,2.361192,2.340083,48.886165,2.378779,48.901831
STREET FOOD SYLHET,Restauration de type rapide,Arena Porte de La Chapelle,48.891361,2.351225,2.340083,48.886165,2.378779,48.901831
LA GRAINE DU BONHEUR,Restauration de type rapide,Arena Porte de La Chapelle,48.89094,2.361347,2.340083,48.886165,2.378779,48.901831
SLM,Restauration de type rapide,Arena Porte de La Chapelle,48.890006,2.362656,2.340083,48.886165,2.378779,48.901831
AYAN,Restauration de type rapide,Arena Porte de La Chapelle,48.886541,2.359722,2.340083,48.886165,2.378779,48.901831
COMPANY ZOHRA,Restauration de type rapide,Arena Porte de La Chapelle,48.89157,2.350094,2.340083,48.886165,2.378779,48.901831
MINA'H,Restauration traditionnelle,Arena Porte de La Chapelle,48.887742,2.360017,2.340083,48.886165,2.378779,48.901831
MATABI & LES JUMELLES,Débits de boissons,Arena Porte de La Chapelle,48.892059,2.350066,2.340083,48.886165,2.378779,48.901831
VIP CORNER,Restauration de type rapide,Arena Porte de La Chapelle,48.887894,2.360035,2.340083,48.886165,2.378779,48.901831
2 ETOILES,Restauration de type rapide,Arena Porte de La Chapelle,48.891956,2.348003,2.340083,48.886165,2.378779,48.901831
LE CRIMEE,Restauration traditionnelle,Arena Porte de La Chapelle,48.894022,2.372903,2.340083,48.886165,2.378779,48.901831
LE CRISTAL BERBERE,Restauration traditionnelle,Arena Porte de La Chapelle,48.894253,2.372684,2.340083,48.886165,2.378779,48.901831
ALJANE-LAMAIRI,Restauration de type rapide,Arena Porte de La Chapelle,48.899037,2.371407,2.340083,48.886165,2.378779,48.901831
O.CROQUE CHAUD,Restauration de type rapide,Arena Porte de La Chapelle,48.899037,2.371407,2.340083,48.886165,2.378779,48.901831
DON RIEMI,Restauration traditionnelle,Arena Porte de La Chapelle,48.898929,2.372404,2.340083,48.886165,2.378779,48.901831
LA DAME DU PIC,Restauration traditionnelle,Arena Porte de La Chapelle,48.894559,2.372909,2.340083,48.886165,2.378779,48.901831
BL&CO,Restauration de type rapide,Arena Porte de La Chapelle,48.895969,2.371545,2.340083,48.886165,2.378779,48.901831
A LA BARAKA,Restauration traditionnelle,Arena Porte de La Chapelle,48.894151,2.37278,2.340083,48.886165,2.378779,48.901831
BENTA BR,Restauration de type rapide,Arena Porte de La Chapelle,48.894151,2.37278,2.340083,48.886165,2.378779,48.901831
BUSBOY,Restauration traditionnelle,Arena Porte de La Chapelle,48.901326,2.371746,2.340083,48.886165,2.378779,48.901831
PEASTRI SAS,Restauration de type rapide,Arena Porte de La Chapelle,48.893852,2.370239,2.340083,48.886165,2.378779,48.901831
TAG 19,Restauration traditionnelle,Arena Porte de La Chapelle,48.898929,2.372404,2.340083,48.886165,2.378779,48.901831
ALLO KEMIA,Restauration traditionnelle,Arena Porte de La Chapelle,48.891812,2.372676,2.340083,48.886165,2.378779,48.901831
ALLO SARINA,Restauration traditionnelle,Arena Porte de La Chapelle,48.89178,2.372545,2.340083,48.886165,2.378779,48.901831
2JR,Restauration de type rapide,Arena Porte de La Chapelle,48.893374,2.359905,2.340083,48.886165,2.378779,48.901831
SELO,Restauration de type rapide,Arena Porte de La Chapelle,48.891901,2.347188,2.340083,48.886165,2.378779,48.901831
Y.V.168,Restauration traditionnelle,Arena Porte de La Chapelle,48.899255,2.371399,2.340083,48.886165,2.378779,48.901831
VITO GENNARO,Restauration traditionnelle,Arena Porte de La Chapelle,48.894463,2.372485,2.340083,48.886165,2.378779,48.901831
AUX GOURMETS,Restauration de type rapide,Arena Porte de La Chapelle,48.889158,2.372061,2.340083,48.886165,2.378779,48.901831
MAC DAVID,Restauration traditionnelle,Arena Porte de La Chapelle,48.89233,2.372795,2.340083,48.886165,2.378779,48.901831
FOURNIL DE STALINGRAD,Restauration de type rapide,Arena Porte de La Chapelle,48.889698,2.369119,2.340083,48.886165,2.378779,48.901831
KG4,Restauration traditionnelle,Arena Porte de La Chapelle,48.887324,2.367287,2.340083,48.886165,2.378779,48.901831
SUSHI LIVE,Restauration traditionnelle,Arena Porte de La Chapelle,48.891686,2.372502,2.340083,48.886165,2.378779,48.901831
LE CAFE DU CENT QUATRE,Restauration traditionnelle,Arena Porte de La Chapelle,48.890284,2.368527,2.340083,48.886165,2.378779,48.901831
ABDELLI,Restauration traditionnelle,Arena Porte de La Chapelle,48.891686,2.372502,2.340083,48.886165,2.378779,48.901831
LES GRANDES TABLES DU 104,Restauration traditionnelle,Arena Porte de La Chapelle,48.889983,2.371506,2.340083,48.886165,2.378779,48.901831
